playerID,"CONCAT(Player.nameFirst, ' ', Player.nameLast)",birthCountry,max_salary,teamID
betande01,"Dellin Betances",USA,507500,NYA
betanra01,"Rafael Betancourt",Venezuela,4250000,CLE
betanyu01,"Yuniesky Betancourt",Cuba,4300000,SEA
betemwi01,"Wilson Betemit",D.R.,2000000,ATL
bethach01,"Christian Bethancourt",Panama,507500,ATL
bettich01,"Chad Bettis",USA,500000,COL
bettsmo01,"Mookie Betts",USA,514500,BOS
bevacku01,"Kurt Bevacqua",USA,140000,SDN
bevilbr01,"Brian Bevil",USA,175000,KCA
biancbu01,"Buddy Biancalana",USA,165000,KCA
biancje01,"Jeff Bianchi",USA,502000,MIL
bicheda01,"Dante Bichette",USA,7250000,CAL
biddlro01,"Rocky Biddle",USA,1950000,CHA
bielemi01,"Mike Bielecki",USA,1325000,PIT
bierbni01,"Nick Bierbrodt",USA,300000,ARI
bierdra01,"Randor Bierd",D.R.,390000,BAL
biesest01,"Steve Bieser",USA,150000,NYN
bigbila01,"Larry Bigbie",USA,900000,BAL
biggicr01,"Craig Biggio",USA,9750000,HOU
bilarda01,"Dann Bilardello",USA,125000,MON
billich01,"Chad Billingsley",USA,11000000,LAN
birkbmi01,"Mike Birkbeck",USA,155000,ML4
birkiku01,"Kurt Birkins",USA,397600,TBA
birtsti01,"Tim Birtsas",USA,120500,OAK
bisenjo01,"Joe Bisenius",USA,380000,PHI
bittije01,"Jeff Bittiger",USA,113000,LAN
blackbu02,"Buddy Black",USA,3250000,KCA
blackch02,"Charlie Blackmon",USA,517500,COL
blackni01,"Nick Blackburn",USA,4750000,MIN
blacktr01,"Travis Blackley",Australia,550000,SEA
blackvi01,"Vic Black",USA,502250,NYN
blairwi01,"Willie Blair",USA,4500000,TOR
blakeca01,"Casey Blake",USA,6250000,CLE
blaloha01,"Hank Blalock",USA,6200000,TEX
blancan01,"Andres Blanco",Venezuela,850000,TEX
blancgr01,"Gregor Blanco",Venezuela,3600000,ATL
blanche01,"Henry Blanco",Venezuela,3175000,LAN
blancto01,"Tony Blanco",D.R.,316000,WAS
blankke01,"Kevin Blankenship",USA,100000,CHN
blankky01,"Kyle Blanks",USA,988000,SDN
blankla02,"Lance Blankenship",USA,627000,OAK
blankma01,"Matt Blank",USA,200000,MON
blantjo01,"Joe Blanton",USA,10500000,OAK
blausje01,"Jeff Blauser",USA,4200000,ATL
blazemi01,"Michael Blazek",USA,508500,MIL
blaziro01,"Ron Blazier",USA,180000,PHI
blevije01,"Jerry Blevins",USA,1675000,OAK
blockte01,"Terry Blocker",USA,70000,ATL
bloomwi01,"Willie Bloomquist",USA,3000000,SEA
blossgr01,"Greg Blosser",USA,109000,BOS
blowemi01,"Mike Blowers",Germany,2300000,NYA
bluevi01,"Vida Blue",USA,450000,SFN
blumaja01,"Jaime Bluma",USA,165000,KCA
blumge01,"Geoff Blum",USA,1500000,MON
blylebe01,"Bert Blyleven",Netherlands,2000000,CLE
bocachi01,"Hiram Bocachica",P.R.,325000,LAN
bochtbr01,"Bruce Bochte",USA,572500,OAK
bochtdo01,"Doug Bochtler",USA,287500,SDN
bochybr01,"Bruce Bochy",France,135000,SDN
bococbr01,"Brian Bocock",USA,414000,SFN
boddimi01,"Mike Boddicker",USA,3166667,BAL
boehrbr01,"Brian Boehringer",USA,2000000,NYA
boescbr01,"Brennan Boesch",USA,1500000,DET
boevejo01,"Joe Boever",USA,800000,ATL
bogaexa01,"Xander Bogaerts",Aruba,543000,BOS
bogarti01,"Tim Bogar",USA,725000,NYN
boggsmi01,"Mitchell Boggs",USA,1475000,SLN
boggswa01,"Wade Boggs",USA,4724316,BOS
bogusbr01,"Brian Bogusevic",USA,483000,HOU
bohanbr01,"Brian Bohanon",USA,4000000,TEX
bolicfr01,"Frank Bolick",USA,178000,MON
boltoro01,"Rod Bolton",USA,100000,CHA
boltoto01,"Tom Bolton",USA,525000,BOS
bondeje01,"Jeremy Bonderman",USA,12500000,DET
bondsba01,"Barry Bonds",USA,22000000,PIT
bonesri01,"Ricky Bones",P.R.,1425000,SDN
bongju01,"Jung Bong","South Korea",340000,ATL
