playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,AVG,SLG
allisdo01,318,1407,236,381,43,10,2,140,5,2,22,40,0,0,0,0,0,0.27078891257995735,0.31982942430703626
allisma01,45,76,3,9,0,0,0,1,0,0,2,9,0,0,1,0,0,0.11842105263157894,0.11842105263157894
allismi01,49,60,15,13,0,0,0,0,4,0,15,9,0,0,3,0,0,0.21666666666666667,0.21666666666666667
allrebe01,65,165,19,38,7,0,4,15,2,2,29,48,2,1,3,2,1,0.23030303030303031,0.34545454545454546
almadme01,646,2483,363,706,107,27,15,197,56,27,214,150,0,5,35,0,4,0.28433346757954087,0.36729762384212644
almanar01,254,4,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0.0,0.0
almanca01,210,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0.0,0.0
almeira01,102,285,32,77,13,6,3,46,7,0,25,40,0,3,11,0,0,0.27017543859649124,0.3894736842105263
almonab01,166,508,65,124,26,6,10,48,12,4,39,133,0,1,7,5,12,0.2440944881889764,0.3779527559055118
almonbi01,1236,3330,390,846,138,25,36,296,128,60,250,636,24,6,44,29,53,0.25405405405405407,0.3429429429429429
almoned01,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
almoner01,55,133,18,31,7,0,2,14,3,0,8,29,0,1,2,0,5,0.23308270676691728,0.3308270676691729
almonhe01,50,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
almonmi01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
almonzo01,47,142,11,30,4,0,2,12,4,1,6,33,0,0,0,1,3,0.2112676056338028,0.28169014084507044
alomalu01,116,48,2,8,1,0,0,3,0,0,1,17,0,0,2,0,1,0.16666666666666666,0.1875
alomaro01,2379,9073,1508,2724,504,80,210,1134,474,114,1032,1140,62,50,148,97,206,0.30023145596825745,0.4428524192659539
alomasa01,1481,4760,558,1168,126,19,13,282,227,80,302,482,17,3,77,18,58,0.2453781512605042,0.2880252100840336
alomasa02,1377,4530,520,1236,249,10,112,588,25,24,212,499,15,41,48,34,132,0.2728476821192053,0.406401766004415
alonsyo01,508,1621,169,443,93,2,32,183,17,6,163,263,18,9,1,17,47,0.2732880937692782,0.39235040098704504
aloufe01,2082,7339,985,2101,359,49,206,852,107,67,423,706,67,57,33,56,135,0.2862787845755553,0.4327565063360131
alouje01,1380,4345,448,1216,170,26,32,377,31,46,138,267,32,30,44,20,143,0.2798619102416571,0.3530494821634062
alouma01,1667,5789,780,1777,236,50,31,427,156,80,311,377,38,36,55,29,101,0.30696147866643636,0.381067541889791
aloumo01,1942,7037,1109,2134,421,39,332,1287,106,37,737,894,91,48,9,82,195,0.30325422765382976,0.5157027142248117
alperwh01,450,1632,134,387,60,36,7,141,27,0,30,0,0,39,57,0,0,0.23713235294117646,0.33088235294117646
